Recency,Frequency,Monetary
5.7899601708972535,0.6931471805599453,11.253955234248428
1.0986122886681098,2.0794415416798357,8.368925174747135
4.330733340286331,1.6094379124341003,7.494563687769957
2.995732273553991,0.6931471805599453,7.472244884833674
5.739792912179234,0.6931471805599453,5.815323849389109
3.6109179126442243,2.1972245773362196,7.826858053356098
5.3230099791384085,0.6931471805599453,4.499809670330265
5.4510384535657,0.6931471805599453,6.985086621918461
5.3706380281276624,0.6931471805599453,6.132095676847728
3.1780538303479458,1.3862943611198906,7.941804157314053
3.5263605246161616,0.6931471805599453,8.733701981297274
1.0986122886681098,1.0986122886681098,7.063955286074528
4.07753744390572,1.6094379124341003,8.750054175177759
3.970291913552122,1.3862943611198906,7.887231116540211
5.662960480135946,0.6931471805599453,5.251749730731702
1.3862943611198906,2.3978952727983707,8.56163678004062
4.709530201312334,1.0986122886681098,6.315358001522335
2.1972245773362196,1.6094379124341003,7.180907299649593
5.676753802268282,1.0986122886681098,6.465180028897591
1.6094379124341003,0.6931471805599453,5.135210028677887
3.9512437185814275,1.6094379124341003,8.172712169921061
3.828641396489095,1.0986122886681098,7.543781692052325
4.290459441148391,1.3862943611198906,7.169380809114136
5.7430031878094825,0.6931471805599453,5.901539839579995
3.258096538021482,0.6931471805599453,6.6119469443852195
2.4849066497880004,1.0986122886681098,6.127960291696519
5.755742213586912,1.0986122886681098,7.395795270713971
4.875197323201151,0.6931471805599453,8.29645175271804
4.418840607796598,1.0986122886681098,6.749040867823617
3.1354942159291497,1.6094379124341003,7.910520910634419
1.791759469228055,1.791759469228055,7.520944331624911
5.225746673713202,1.791759469228055,7.523783805985769
3.4011973816621555,1.0986122886681098,6.373780434317173
5.82600010738045,1.0986122886681098,5.998688392197302
2.833213344056216,1.9459101490553132,7.930803150780256
4.394449154672439,0.6931471805599453,6.311444385858925
3.1354942159291497,0.6931471805599453,6.0882736030360425
4.290459441148391,1.6094379124341003,7.3674560152319755
4.174387269895637,1.0986122886681098,7.149508589545504
2.995732273553991,2.5649493574615367,8.012889586306857
3.6109179126442243,1.0986122886681098,7.7877554007552545
3.8501476017100584,0.6931471805599453,7.4004128587924045
4.787491742782046,1.6094379124341003,7.011799929268738
5.717027701406222,0.6931471805599453,4.446174454497633
5.780743515792329,0.6931471805599453,5.423186348593906
3.9318256327243257,0.6931471805599453,6.0607573736039315
5.0106352940962555,0.6931471805599453,7.445061184797548
3.1354942159291497,1.0986122886681098,8.136313373066384
3.9318256327243257,1.791759469228055,7.4437338971514055
3.5263605246161616,1.791759469228055,7.968856059639959
4.382026634673881,1.3862943611198906,9.312325497408466
5.736572297479192,1.0986122886681098,6.542947351813216
